Nova | Antique (Factory New)
Nova | Antique (Field-Tested)
Nova | Antique (Minimal Wear)
Nova | Army Sheen (Factory New)
Nova | Army Sheen (Field-Tested)
Nova | Army Sheen (Minimal Wear)
Nova | Baroque Orange (Battle-Scarred)
Nova | Baroque Orange (Factory New)
Nova | Baroque Orange (Field-Tested)
Nova | Baroque Orange (Minimal Wear)
Nova | Baroque Orange (Well-Worn)
Nova | Blaze Orange (Battle-Scarred)
Nova | Blaze Orange (Factory New)
Nova | Blaze Orange (Field-Tested)
Nova | Blaze Orange (Minimal Wear)
Nova | Blaze Orange (Well-Worn)
Nova | Bloomstick (Battle-Scarred)
Nova | Bloomstick (Factory New)
Nova | Bloomstick (Field-Tested)
Nova | Bloomstick (Minimal Wear)
Nova | Bloomstick (Well-Worn)
Nova | Caged Steel (Factory New)
Nova | Caged Steel (Field-Tested)
Nova | Caged Steel (Minimal Wear)
Nova | Candy Apple (Factory New)
Nova | Candy Apple (Field-Tested)
Nova | Candy Apple (Minimal Wear)
Nova | Clear Polymer (Battle-Scarred)
Nova | Clear Polymer (Factory New)
Nova | Clear Polymer (Field-Tested)
Nova | Clear Polymer (Minimal Wear)
Nova | Clear Polymer (Well-Worn)
Nova | Exo (Battle-Scarred)
Nova | Exo (Factory New)
Nova | Exo (Field-Tested)
Nova | Exo (Minimal Wear)
Nova | Exo (Well-Worn)
Nova | Forest Leaves (Battle-Scarred)
Nova | Forest Leaves (Factory New)
Nova | Forest Leaves (Field-Tested)
Nova | Forest Leaves (Minimal Wear)
Nova | Forest Leaves (Well-Worn)
Nova | Ghost Camo (Factory New)
Nova | Ghost Camo (Field-Tested)
Nova | Ghost Camo (Minimal Wear)
Nova | Ghost Camo (Well-Worn)
Nova | Gila (Factory New)
Nova | Gila (Field-Tested)
Nova | Gila (Minimal Wear)
Nova | Graphite (Factory New)
Nova | Graphite (Minimal Wear)
Nova | Green Apple (Factory New)
Nova | Green Apple (Field-Tested)
Nova | Green Apple (Minimal Wear)
Nova | Hyper Beast (Battle-Scarred)
Nova | Hyper Beast (Factory New)
Nova | Hyper Beast (Field-Tested)
Nova | Hyper Beast (Minimal Wear)
